name,office,district,party,city,county,status,research_context
Jacob VandenPlas,State Assembly,1,Republican,Brussels,Door,Declared,Third-generation farmer at VandenPlas Farms; ran for US House WI-8 in 2020 and 2022
Ann Marie Renard,State Assembly,1,Republican,Sturgeon Bay,Door,Declared,Owns Renard Insurance Group; former Sturgeon Bay city council member
John Kroll,State Assembly,85,Democrat,Wausau,Marathon,Declared,Building-science researcher; first-term Marathon County Board supervisor
Bruce Stabenow,State Senate,17,Republican,Richland Center,Richland,General,Incumbent state senator seeking a third term
Doug Diny,County Clerk,,Republican,Waupaca,Waupaca,Elected,Sitting Waupaca County Clerk elected in 2024
Nicholas Endres,School Board,,Nonpartisan,Appleton,Outagamie,Declared,Software engineer at Werner Electric; parent of two AASD students
Niina Baum,State Senate,8,Democrat,Mequon,Ozaukee,Not Known,Nonprofit director; considering a 2027 run but has not announced
Kevin Hermening,U.S. House,3,Republican,Mosinee,Marathon,Declared,Financial adviser; former Iran hostage; filed FEC statement of candidacy
Brayden Myer,County Board,22,Republican,Madison,Dane,Declared,UW-Madison graduate student running for an open county board seat
Michelle Magadance Skinner,School Board,,Democrat,Wausau,Marathon,Not Known,Literacy advocate active in Wausau School District budget hearings
Tom Wirtz,County Clerk,,Republican,Balsam Lake,Polk,Not Known,Local business owner; approached about running for county clerk
Leah Chen,School Board,,Nonpartisan,Appleton,Outagamie,Declared,Pediatric nurse; committed to run in the spring 2027 cycle
